RouteSurKey,Organization_Name,Time,Location,latitude,longitude,mean
1000,EPA,1/1/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,12.9625
1002,EPA,1/1/2017,GRAVES ES,41.782766,-87.805377,14.5
1003,EPA,1/1/2017,IEPA TRAILER,41.965193,-87.876265,16.9
1004,EPA,1/1/2017,LIBERTY SCHOOL,41.864426,-87.748902,12.34
1005,EPA,1/1/2017,MAYFAIR PUMP STATION,41.965485,-87.749928,12.9
1006,EPA,1/1/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,15.872
1007,EPA,1/1/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,17.47916667
1008,EPA,1/1/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,12.296
1009,EPA,1/1/2017,VILLAGE GARAGE,41.670992,-87.732457,11.112
1010,EPA,1/1/2017,VILLAGE HALL,41.80118,-87.832349,13.6
1011,EPA,1/1/2017,WASHINGTON HS,41.687165,-87.539315,14.15
1012,EPA,1/2/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,18.81666667
1013,EPA,1/2/2017,LIBERTY SCHOOL,41.864426,-87.748902,19.0875
1014,EPA,1/2/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,18.39583333
1015,EPA,1/2/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,22.98333333
1016,EPA,1/2/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,18.15
1017,EPA,1/2/2017,VILLAGE GARAGE,41.670992,-87.732457,16.08333333
1018,EPA,1/3/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,14.25833333
1019,EPA,1/3/2017,LIBERTY SCHOOL,41.864426,-87.748902,15.19583333
1020,EPA,1/3/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,11.55416667
1021,EPA,1/3/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,16.34166667
1022,EPA,1/3/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,12.08333333
1023,EPA,1/3/2017,VILLAGE GARAGE,41.670992,-87.732457,14.37647059
1024,EPA,1/4/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,4.083333333
1025,EPA,1/4/2017,GRAVES ES,41.782766,-87.805377,3.8
1026,EPA,1/4/2017,IEPA TRAILER,41.965193,-87.876265,4.7
1027,EPA,1/4/2017,LIBERTY SCHOOL,41.864426,-87.748902,4.866666667
1028,EPA,1/4/2017,MAYFAIR PUMP STATION,41.965485,-87.749928,3.7
1029,EPA,1/4/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,3.547826087
1030,EPA,1/4/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,3.660869565
1031,EPA,1/4/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,3.679166667
1032,EPA,1/4/2017,VILLAGE GARAGE,41.670992,-87.732457,
1033,EPA,1/4/2017,VILLAGE HALL,41.80118,-87.832349,3.2
1034,EPA,1/4/2017,WASHINGTON HS,41.687165,-87.539315,4
1035,EPA,1/5/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,5.658333333
1036,EPA,1/5/2017,LIBERTY SCHOOL,41.864426,-87.748902,6.904166667
1037,EPA,1/5/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,8.108333333
1038,EPA,1/5/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,7.783333333
1039,EPA,1/5/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,9.429166667
1040,EPA,1/5/2017,VILLAGE GARAGE,41.670992,-87.732457,
1041,EPA,1/6/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,9.870833333
1042,EPA,1/6/2017,LIBERTY SCHOOL,41.864426,-87.748902,10.24583333
1043,EPA,1/6/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,12.61666667
1044,EPA,1/6/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,13.70416667
1045,EPA,1/6/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,10.60416667
1046,EPA,1/6/2017,VILLAGE GARAGE,41.670992,-87.732457,7.75
1047,EPA,1/7/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,8.420833333
1048,EPA,1/7/2017,GRAVES ES,41.782766,-87.805377,8.5
1049,EPA,1/7/2017,IEPA TRAILER,41.965193,-87.876265,9.6
1050,EPA,1/7/2017,LIBERTY SCHOOL,41.864426,-87.748902,7.8
1051,EPA,1/7/2017,MAYFAIR PUMP STATION,41.965485,-87.749928,7.7
1052,EPA,1/7/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,7.736
1053,EPA,1/7/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,8.483333333
1054,EPA,1/7/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,8.424
1055,EPA,1/7/2017,VILLAGE GARAGE,41.670992,-87.732457,5.32
1056,EPA,1/7/2017,VILLAGE HALL,41.80118,-87.832349,
1057,EPA,1/7/2017,WASHINGTON HS,41.687165,-87.539315,8.8
1058,EPA,1/8/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,5.425
1059,EPA,1/8/2017,LIBERTY SCHOOL,41.864426,-87.748902,
